"","estimation_error","taskisclosed","totalspenttime","activityafterdays","class"
"1",0,8,2,0,"good"
"2",0,8,2,0,"good"
"3",0,8,2,0,"good"
"4",0,8,2,0,"good"
"5",0,9,2,0,"good"
"6",0,9,2,0,"good"
"7",0,12,2,0,"medium"
"8",0,12,2,0,"medium"
"9",0,12,2,0,"medium"
"10",0,12,2,0,"medium"
"11",0,9,2,0,"good"
"12",0,9,2,0,"good"
"13",0,12,2,0,"medium"
"14",0,12,2,0,"medium"
"15",0,14,2,0,"medium"
"16",0,14,2,0,"medium"
"17",0,13,2,0,"medium"
"18",0,13,2,0,"medium"
"19",0,13,2,0,"medium"
"20",0,13,2,0,"medium"
"21",0,12,2,0,"medium"
"22",0,12,2,0,"medium"
"23",0,13,2,0,"medium"
"24",0,13,2,0,"medium"
"25",0,14,2,0,"medium"
"26",0,14,2,0,"medium"
"27",0,14,2,0,"medium"
"28",0,14,2,0,"medium"
"29",0,14,2,0,"medium"
"30",0,14,2,0,"medium"
"31",0,8,2,0,"good"
"32",0,8,2,0,"good"
"33",0,9,2,0,"good"
"34",0,9,2,0,"good"
"35",0,12,2,0,"medium"
"36",0,12,2,0,"medium"
"37",0,13,2,0,"medium"
"38",0,14,2,0,"medium"
"39",0,14,2,0,"medium"
"40",0,14,2,0,"medium"
"41",0,14,2,1,"medium"
"42",0,0,2,0,"good"
"43",0,0,2,0,"good"
"44",0,0,3,0,"good"
"45",0,0,3,0,"good"
"46",0,0,2,0,"good"
"47",0,0,2,0,"good"
"48",0,0,3,0,"good"
"49",0,0,3,0,"good"
"50",0,0,2,0,"good"
"51",0,0,3,0,"good"
"52",0,0,2,0,"good"
"53",0,0,3,0,"good"
"54",0,0,3,0,"good"
"55",0,0,3,1,"good"
"56",0,3,4,0,"good"
"57",0,3,4,0,"good"
"58",0,3,4,0,"good"
"59",0,3,4,0,"good"
"60",0,3,4,0,"good"
"61",0,3,4,0,"good"
"62",0,3,4,0,"good"
"63",0,3,4,0,"good"
"64",0,3,4,2,"good"
"65",0,3,4,0,"good"
"66",0,3,4,0,"good"
"67",0,3,4,0,"good"
"68",0,3,4,0,"good"
"69",0,1,3,0,"good"
"70",0,1,3,0,"good"
"71",0,3,4,0,"good"
"72",0,3,4,0,"good"
"73",0,1,3,0,"good"
"74",0,1,3,0,"good"
"75",0,1,3,0,"good"
"76",0,1,3,1,"good"
"77",0,3,4,0,"good"
"78",0,1,2,0,"good"
"79",0,1,2,0,"good"
"80",0,1,4,0,"good"
"81",0,1,4,2,"good"
"82",3,5,23,0,"good"
"83",3,5,23,0,"good"
"84",0,1,3,0,"good"
"85",0,1,3,0,"good"
"86",0,3,4,0,"good"
"87",0,3,4,0,"good"
"88",0,1,2,0,"good"
"89",0,3,4,0,"good"
"90",0,1,3,0,"good"
